Designator,Mid X,Mid Y,Rotation,Layer
BT1,198.81875,-136.58125,270.0,top
C1,188.81875,-72.18125,0.0,top
C10,104.25625,-145.48125,0.0,top
C11,166.59875,-61.21875,90.0,top
C12,177.31875,-61.21875,90.0,top
C13,168.74625,-103.52375,180.0,top
C14,148.88125,-89.26125,180.0,top
C15,171.66875,-61.21875,90.0,top
C16,188.81875,-88.34125,0.0,top
C17,179.23875,-100.48125,270.0,top
C18,177.71875,-100.48125,270.0,top
C19,176.18875,-100.48125,270.0,top
C2,161.01875,-61.21875,90.0,top
C20,153.13875,-106.09875,0.0,top
C21,165.07875,-100.48125,270.0,top
C22,166.58875,-100.48125,270.0,top
C23,148.88125,-80.91125,180.0,top
C24,153.13875,-98.29875,0.0,top
C25,188.81875,-76.80125,0.0,top
C26,188.81875,-81.84125,0.0,top
C27,197.61875,-77.08125,180.0,top
C28,159.52875,-61.21875,90.0,top
C29,173.24875,-61.21875,90.0,top
C3,104.05625,-120.4125,0.0,top
C30,148.88125,-69.20125,180.0,top
C31,188.81875,-70.68125,0.0,top
C32,173.41875,-118.28125,0.0,top
C33,180.48125,-129.38125,0.0,top
C34,113.03875,-128.23125,90.0,top
C35,117.53875,-123.76875,0.0,top
C36,173.41875,-116.78125,0.0,top
C37,166.86875,-116.78125,180.0,top
C38,184.31875,-129.38125,180.0,top
C39,166.86875,-118.28125,180.0,top
C4,104.05625,-133.2125,0.0,top
C40,122.34875,-128.61875,180.0,top
C41,211.31875,-125.48125,90.0,bottom
C42,207.50875,-146.90875,270.0,bottom
C43,210.70875,-146.90875,270.0,bottom
C5,148.88125,-87.72125,180.0,top
C50,206.76375,-116.73125,270.0,bottom
C6,148.88125,-82.59125,180.0,top
C7,172.13375,-103.52375,0.0,top
C8,148.88125,-77.38125,180.0,top
C9,148.88125,-70.77125,180.0,top
D1,125.61875,-60.88125,270.0,bottom
D2,125.92,-82.18,270.0,bottom
D3,122.34875,-131.96875,180.0,top
D4,118.42,-82.18,270.0,bottom
D5,205.11875,-121.98125,180.0,top
D6,205.11875,-120.08125,180.0,top
D7,141.82,-82.23,270.0,bottom
D8,133.32,-82.23,270.0,bottom
D9,196.71875,-63.08125,180.0,top
F1,196.689072,-87.78125,0.0,bottom
J1,210.674072,-91.78125,270.0,bottom
J2,207.21875,-76.88125,270.0,bottom
J3,205.91875,-106.73125,270.0,bottom
J4,109.34875,-60.05625,90.0,top
J5,170.21875,-124.29125,0.0,top
J6,144.61875,-117.88125,0.0,top
J7,207.21875,-62.13125,270.0,bottom
L1,116.33875,-131.96875,0.0,top
Q1,95.71875,-67.90125,90.0,bottom
Q2,122.22,-77.23,180.0,bottom
Q3,132.52,-76.705,180.0,bottom
Q4,137.72,-76.705,180.0,bottom
Q6,117.42,-77.23,180.0,bottom
Q7,210.46375,-116.73125,0.0,bottom
R1,106.81875,-82.33125,90.0,top
R10,162.91875,-57.20625,180.0,bottom
R11,95.81875,-71.18125,180.0,bottom
R12,105.46875,-151.08125,180.0,top
R13,202.789072,-94.99375,270.0,bottom
R14,201.289072,-94.99375,270.0,bottom
R15,127.21875,-60.88125,270.0,bottom
R16,119.32,-74.03,0.0,bottom
R17,114.22625,-123.76875,180.0,top
R18,166.86875,-119.83125,180.0,top
R19,173.41875,-119.83125,0.0,top
R2,107.01875,-102.58125,90.0,top
R20,134.3325,-73.78,0.0,bottom
R21,184.60875,-60.99375,270.0,bottom
R22,205.16375,-116.73125,270.0,bottom
R23,203.56375,-116.73125,90.0,bottom
R24,119.90625,-57.48125,0.0,top
R3,100.21875,-82.33125,90.0,top
R4,100.21875,-102.58125,90.0,top
R5,103.51875,-87.18125,180.0,top
R6,103.51875,-107.38125,180.0,top
R7,105.21875,-126.0125,180.0,top
R8,105.35625,-138.8125,180.0,top
R9,175.31875,-57.18125,0.0,bottom
SW1,103.51875,-82.18125,270.0,bottom
SW2,103.51875,-102.43125,270.0,bottom
SW3,104.01875,-120.4125,270.0,bottom
SW4,104.05625,-133.2125,270.0,bottom
SW5,104.05625,-145.48125,270.0,bottom
SW6,169.13375,-57.20625,270.0,bottom
SW7,197.61875,-77.08125,90.0,bottom
SW8,187.13375,-62.36625,180.0,bottom
SW9,198.66375,-113.67125,0.0,bottom
U1,168.41875,-80.88125,0.0,top
U2,143.04875,-58.96125,90.0,top
U3,196.589072,-91.78125,180.0,bottom
U4,182.51875,-121.04125,90.0,top
U5,116.33875,-127.56875,270.0,top
U6,209.31875,-138.73125,270.0,bottom
U8,196.80875,-62.37625,90.0,bottom
Y1,170.48875,-100.55375,180.0,top
Y2,155.18875,-102.21875,90.0,top
